economy,AFG,AFG,AFG,AFG,AFG,AFG,AFG,AFG,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,IND,IND,IND,IND,IND,IND,IND,IND,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK
series,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EG.ELC.ACCS.RU.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,ER.LND.PTLD.ZS,NE.DAB.TOTL.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS
YR1981,,304.361,,,,,,,,20377.519,,,102.61137720622,16.7108457450299,,,,7898.718,,,98.8841757135668,34.5226112588971,,,,2141.528,,,99.3022974739574,47.5224791211479,,,,1642.816,,,111.61967366349,26.2165434638297,,,,4411.401,,,103.055185782017,19.0967371858663,,,,89680.152,,,106.616615939201,23.114806102161,,,,2885.929,,,106.598641163,8.57123813494003,,,,744.401,,,95.1838309117654,83.976997003479,,,,13406.552,,,109.497620382752,22.332815712663,,
YR1982,,396.036,,,,,,,,22548.383,,,103.759159148917,16.8005366166999,,,,8756.796,,,98.9335814979492,33.2164891600317,,,,2262.539,,,99.309997794703,43.6213347962706,,,,1697.821,,,102.667403872869,21.2520891443833,,,,4792.769,,,102.785865501069,19.5513155621073,,,,93391.156,,,107.302505647629,23.6876284708325,,,,4363.73,,,106.301302914406,8.14262790099815,,,,623.39,,,93.8765303350507,85.0261789546221,,,,13853.926,,,110.941544118781,21.1319136596547,,
YR1983,,616.056,,,,,,,,22808.74,,,103.139101018044,15.5968144563307,,,,9207.837,,,99.307721720231,36.9396201860833,,,,2486.226,,,100.894234140206,43.9072776298589,,,,1804.164,,,98.1602428195532,21.3970607272027,,,,5042.125,,,101.737944052386,20.6932058500954,,,,97248.84,,,108.106510196563,24.7555843480361,,,,5247.477,,,105.684021863316,7.85296446248906,,,,594.054,,,92.1338696013529,84.4713682891076,,,,14587.326,,,110.325011594815,22.5084868560075,,
YR1984,,931.418,,,,,,,,24070.188,,,101.885238999654,14.9780601218154,,,,9299.512,,,98.1149888383342,38.2461502514927,,,,2772.252,,,97.0620600374147,44.2838102595233,,,,1811.498,,,102.500760489107,24.4608395262252,,,,4789.102,,,98.9539595892932,20.2383706388167,,,,99691.062,,,109.001161852277,27.5507240319819,,,,6175.228,,,105.990886891661,7.7259745513612,,,,638.058,,,90.6543884774401,93.22986686045,,,,14612.995,,,110.573317897485,21.9679753788691,,
YR1985,,1191.775,,,,,,,,30172.076,,,102.278539084337,17.2729744195332,,,,8958.481,,,100.406807116363,43.2022408138597,,,,2904.264,,,97.303904870075,45.0061531433926,,,,1848.168,,,96.8622966887424,24.33277328472,,,,5386.823,,,99.174889641725,20.0018850368878,,,,108029.82,,,107.739056946736,26.737839376159,,,,7205.655,,,106.563121244961,7.64548119785037,,,,693.063,,,87.9433556799132,97.0091126904686,,,,15485.741,,,112.038368593497,22.6045573823961,,
YR1986,,1202.776,,,,,,,,28114.889,,,103.939949523232,18.0473622436846,,,,9442.525,,,103.43628536071,43.4699248775556,,,,2973.937,,,99.0505985631178,42.9295992824656,,,,1686.82,,,96.9248962143471,24.7335374802535,,,,5027.457,,,99.1033968254879,17.150016662101,,,,108356.183,,,109.440010138651,25.3981116762651,,,,10318.938,,,106.788891103774,7.02305023891085,,,,693.063,,,87.8957046464247,88.2698050199173,,,,16244.81,,,107.814285603228,20.1105081899668,,
YR1987,,392.369,,,,,,,,28994.969,,,103.212541314085,17.0615815695509,,,,10791.981,,,101.837054799583,42.6223539813803,,,,3186.623,,,98.5531202733173,39.7068590107691,,,,1653.817,,,97.2414966305918,25.8490938805272,,,,5489.499,,,101.044838207174,18.5951172490135,,,,107597.114,,,108.980967179498,25.2517634028928,,,,12786.829,,,107.428206791991,6.98023315167344,,,,784.738,,,92.4233167272541,89.9589338780249,,,,16798.527,,,105.278272216099,19.0876870592633,,
YR1988,,440.04,,,,,,,,29710.034,,,101.483438075013,16.6189447339952,,,,12273.449,,,100.33042031446,45.8960858101817,,,,3208.625,,,98.5704847840275,40.9083222740377,,,,2203.867,,,93.4210462912474,25.9810667555567,,,,7513.683,,,102.301630238307,19.410694827558,,,,105950.631,,,111.295538930289,25.1651101977638,,,,15218.05,,,106.84110357218,7.45523036139782,,,,814.074,,,90.9031574925507,89.8833267712408,,,,18261.66,,,105.566569784228,19.4253978077819,,
YR1989,,480.377,,,,,,,,30370.094,,,101.539067486996,16.9536459818821,,,,11030.336,,,101.737781460969,48.1583761167482,,,,3490.984,,,98.5939558468337,43.397325198875,,,,3256.296,,,96.0202912514417,29.2729009482291,,,,10131.921,,,104.407288241884,20.781806020872,,,,104795.526,,,110.87893848674,26.0104386138334,,,,18533.018,,,105.806997306174,8.15200181269201,,,,927.751,,,87.5514951860313,89.1978520724543,,,,20967.906,,,106.277793295182,20.3497262080299,,
YR1990,,403.37,99.9583192746398,,,,,,100.0,33875.746,0.0,,101.38789674938,17.0435698236889,296371478762.324,,100.0,11122.011,8.81083310710187,,103.609337616158,36.7278687657797,65797993934.2371,,100.0,3736.673,0.0,,99.5775501962703,40.9478885379712,191193236430.017,,59.458310297133,2614.571,1.316169457907,,97.5667802685681,29.2511136987861,59789059112.4313,,100.0,11382.368,0.0,,104.426410167045,19.8859350779704,531637946204.733,,100.0,108110.494,0.0,,108.670322395168,24.8957193185344,978052039034.836,,,21114.586,86.5228976924097,,106.985542306513,8.45291127606256,1048721458860.23,,100.0,982.756,0.0,,88.4407184162558,88.098283460949,11430049743.5083,,,23135.103,99.8007939364211,,105.457139085196,20.2458574928471,206931869505.851,
